"","vVirusNameCorrected","hHostNameFinal","WildDomInReference","DetectionMethod","DetectionQuality","Reference"
"679","Canine_distemper_virus","Cystophora_cristata","wild","Antibodies",0,"Stuen et al. 1994"
"680","Influenza_A_virus","Cystophora_cristata","wild","Antibodies",0,"Stuen et al. 1994"
"681","Phocid_herpesvirus_1","Cystophora_cristata","wild","Antibodies",0,"Stuen et al. 1994"
"682","Phocine_distemper_virus","Cystophora_cristata","wild","Antibodies",0,"Stuen et al. 1994"
"683","Bluetongue_virus","Dama_dama","domestic","Antibodies",0,"Ruiz-Fons et al. 2008"
"684","Bovine_adenovirus_A","Dama_dama","domestic","Antibodies",0,"Morse et al. 2009"
"685","Bovine_ephemeral_fever_virus","Dama_dama","wild","SNT",1,"Aziz-Boaron et al. 2013"
"686","Bovine_herpesvirus_1","Dama_dama","wild","PCR",2,"Kalman & Egyed 2005"
"687","Bovine_herpesvirus_2","Dama_dama","wild","PCR",2,"Kalman & Egyed 2005"
"688","Bovine_herpesvirus_4","Dama_dama","wild","PCR",2,"Kalman & Egyed 2005"
"689","Epizootic_hemorrhagic_disease_virus","Dama_dama","domestic","Antibodies",0,"OIE Report 2006"
"690","Akabane_virus","Damaliscus_lunatus","wild","Antibodies",0,"Davies et al. 1985"
"691","Bluetongue_virus","Damaliscus_lunatus","wild","Antibodies",0,"Hamblin et al. 1990"
"692","Bovine_viral_diarrhea_virus_1","Damaliscus_lunatus","wild","SNT",1,"Hamblin & Hedger 1979"
"693","Foot-and-mouth_disease_virus","Damaliscus_lunatus","wild","Antibodies",0,"Hamblin et al. 1990"
"694","Crimean-Congo_hemorrhagic_fever_virus","Damaliscus_pygargus","wild","Antibodies",0,"Shepherd et al. 1987"
"695","Bunyamwera_virus","Dasymys_incomtus","wild","Isolation",2,"Johnson et al. 1977"
"696","Witwatersrand_virus","Dasymys_incomtus","wild","Antibodies",0,"Henderson et al. 1972"
"697","Dengue_virus","Dasyprocta_leporina","wild","Antibodies",0,"de Thouisy et al. 2004"
"698","Mayaro_virus","Dasyprocta_leporina","wild","Antibodies",0,"de Thoisy et al. 2003"
"699","Yellow_fever_virus","Dasyprocta_leporina","wild","Antibodies",0,"de Thoisy et al. 2004; McIntosh 1961"
"700","Mayaro_virus","Dasyprocta_punctata","wild","Antibodies",0,"Seymour et al. 1983a"
"701","Vesicular_stomatitis_Indiana_virus","Dasyprocta_punctata","wild","plaque reduction neutralization",1,"Tesh et al. 1969"
"702","Eastern_equine_encephalitis_virus","Dasypus_novemcinctus","wild","Antibodies",0,"Deem et al. 2009"
"703","Mayaro_virus","Dasypus_novemcinctus","wild","Antibodies",0,"de Thoisy et al. 2003"
"704","St._Louis_encephalitis_virus","Dasypus_novemcinctus","wild","Antibodies",0,"Day et al. 1995"
"705","Vesicular_stomatitis_Indiana_virus","Dasypus_novemcinctus","wild","plaque reduction neutralization",1,"Tesh et al. 1969"
"706","Cetacean_morbillivirus_virus","Delphinus_delphis","wild","PCR",2,"Birkun et al. 1999"
"707","Wesselsbron_virus","Desmodillus_auricularis","wild","Isolation",2,"Beran 1994"
"708","Dengue_virus","Desmodus_rotundus","wild","Antibodies",0,"Price 1978"
"709","Ilheus_virus","Desmodus_rotundus","wild","Antibodies",0,"Price 1978"
"710","Rabies_virus","Desmodus_rotundus","wild","Isolation",2,"Kobayashi et al. 2005"
"711","Rio_Bravo_virus","Desmodus_rotundus","wild","Antibodies",0,"Ubico & McLean 1995"
"712","Tacaribe_virus","Desmodus_rotundus","wild","Antibodies",0,"Price et al. 1978"
"713","Tamana_bat_virus","Desmodus_rotundus","wild","Antibodies",0,"Price 1978"
"714","Venezuelan_equine_encephalitis_virus","Desmodus_rotundus","wild","Isolation",2,"Calisher et al. 2006"
"715","Vesicular_stomatitis_Indiana_virus","Desmodus_rotundus","wild","plaque reduction neutralization",1,"Ubico & McLean 1995"
"716","Vesicular_stomatitis_New_Jersey_virus","Desmodus_rotundus","wild","Antibodies",0,"Ubico & McLean 1995"
"717","Rabies_virus","Diaemus_youngi","wild","Isolation",2,"Castilho et al. 2008"
"718","African_horse_sickness_virus","Diceros_bicornis","wild","ELISA",0,"Fischer-Tenhagen et al. 2000"
"719","Bluetongue_virus","Diceros_bicornis","wild","ELISA",0,"Fischer-Tenhagen et al. 2000"
"720","Bovine_viral_diarrhea_virus_1","Diceros_bicornis","wild","ELISA",0,"Fischer-Tenhagen et al. 2000"
"721","Crimean-Congo_hemorrhagic_fever_virus","Diceros_bicornis","wild","Antibodies",0,"Shepherd et al. 1987"
"722","Rabies_virus","Diclidurus_albus","wild","Isolation",2,"Goodwin & Greenhall 1961"
"723","Catu_virus","Didelphis_marsupialis","wild","Isolation",2,"Shope et al. 1988"
"724","Guama_virus","Didelphis_marsupialis","wild","Isolation",2,"Shope et al. 1988"
"725","Marituba_virus","Didelphis_marsupialis","wild","Isolation",2,"Shope et al. 1988"
"726","Mayaro_virus","Didelphis_marsupialis","wild","Antibodies",0,"de Thoisy et al. 2003"
"727","Oriboca_virus","Didelphis_marsupialis","wild","Isolation",2,"Shopeet al. 1988"
"728","Patois_virus","Didelphis_marsupialis","wild","Antibodies",0,"Scherer et al. 1972"
"729","St._Louis_encephalitis_virus","Didelphis_marsupialis","wild","Isolation",2,"Kramer and Chandler 2001"
"730","Venezuelan_equine_encephalitis_virus","Didelphis_marsupialis","wild","Antibodies",0,"Estrada-Franco et al. 2004"
"731","Vesicular_stomatitis_Indiana_virus","Didelphis_marsupialis","wild","plaque reduction neutralization",1,"Tesh et al. 1969"
"732","California_encephalitis_virus","Didelphis_virginiana","wild","Antibodies",0,"Parkin et al. 1973"
"733","Encephalomyocarditis_virus","Didelphis_virginiana","wild","Isolation",2,"Smith et al. 1992"
"734","West_Nile_virus","Didelphis_virginiana","wild","Antibodies",0,"Dietrich et al. 2005"
"735","Rabies_virus","Diphylla_ecaudata","wild","Isolation",2,"Castilho et al. 2010"
"736","Vesicular_stomatitis_Indiana_virus","Diplomys_labilis","wild","plaque reduction neutralization",1,"Tesh et al. 1969"
"737","Modoc_virus","Dipodomys_heermanni","wild","Antibodies",0,"Hardy et al. 1974"
"738","St._Louis_encephalitis_virus","Dipodomys_heermanni","wild","Antibodies",0,"Hardy et al. 1974"
"739","Vesicular_stomatitis_Indiana_virus","Dipodomys_merriami","wild","plaque reduction neutralization",1,"Aguirre et al. 1992"
"740","Modoc_virus","Dipodomys_nitratoides","wild","Antibodies",0,"Hardy et al. 1974"
"741","St._Louis_encephalitis_virus","Dipodomys_nitratoides","wild","Antibodies",0,"Hardy et al. 1974"
"742","Hendra_virus","Dobsonia_anderseni","wild","Antibodies",0,"Field et al. unpub in Mackenzie 1999"
"743","Hendra_virus","Dobsonia_moluccensis","wild","Antibodies",0,"Halpin unpub in Mackenzie 1999"
"744","Macropodid_herpesvirus_2","Dorcopsis_muelleri","wild","Isolation",2,"Johnson et al. 1985"
"745","Hendra_virus","Eidolon_dupreanum","wild","Antibodies",0,"Iehle et al. 2007"
"746","Nipah_virus","Eidolon_dupreanum","wild","Antibodies",0,"Iehle et al. 2007"
"747","Bunyamwera_virus","Eidolon_helvum","wild","Antibodies",0,"Geevarghesse & Banerjee 1990"
"748","Hendra_virus","Eidolon_helvum","wild","Antibodies",0,"Hayman et al. 2008"
"749","Ife_virus","Eidolon_helvum","wild","Isolation",2,"Esona et al. 2010"
"750","Lagos_bat_virus","Eidolon_helvum","wild","Isolation",2,"Calisher et al. 2006"
"751","Mokola_virus","Eidolon_helvum","wild","Antibodies",0,"Kemp et al. 1972"
"752","Nipah_virus","Eidolon_helvum","wild","Antibodies",0,"Hayman et al. 2008"
"753","Usutu_virus","Eidolon_helvum","wild","Antibodies",0,"Geevarghese & Banerjee 1990"
"754","West_Nile_virus","Eidolon_helvum","wild","Antibodies",0,"Geevarghese & Banerjee 1990"
"755","Zaire_ebolavirus","Eidolon_helvum","wild","PCR",2,"Leroy et al. 2004"
"756","Zika_virus","Eidolon_helvum","wild","Antibodies",0,"Simpson et al. 1968"
"757","Bluetongue_virus","Elephas_maximus","domestic","Antibodies",0,"Bhat et al. 1998"
"758","Bovine_herpesvirus_2","Elephas_maximus","wild","PHA",0,"Bhat et al. 1997"
"759","Foot-and-mouth_disease_virus","Elephas_maximus","wild","Isolation",2,"Barman et al. 1999"
"760","Rabies_virus","Elephas_maximus","domestic","PCR",2,"Nanayakkara et al. 2003"
"761","Australian_bat_lyssavirus","Eonycteris_spelaea","wild","Antibodies",0,"Lumlertdacha et al. 2005"
"762","Issyk-Kul_virus","Eonycteris_spelaea","wild","Isolation",2,"Calisher et al. 2006"
"763","Kyasanur_Forest_disease_virus","Eonycteris_spelaea","wild","Antibodies",0,"Bhat et al. 1978"
"764","Nipah_virus","Eonycteris_spelaea","wild","Isolation",2,"Calisher et al. 2006"
"765","Phnom_Penh_bat_virus","Eonycteris_spelaea","wild","Isolation",2,"Beran & Steele 1994"
"766","Lagos_bat_virus","Epomophorus_gambianus","wild","Antibodies",0,"Dzikwi et al. 2010"
"767","Nipah_virus","Epomophorus_gambianus","wild","Antibodies",0,"Hayman et al. 2008"
"768","Shamonda_virus","Epomophorus_labiatus","wild","Isolation",2,"Addy et al. 1978"
"769","Lagos_bat_virus","Epomophorus_wahlbergi","wild","Isolation",2,"Calisher et al. 2006"
"770","Lagos_bat_virus","Epomops_dobsonii","wild","Isolation",2,"Calisher et al. 2006; Johnson et al. 2010"
"771","Lake_Victoria_marburgvirus","Epomops_franqueti","wild","Antibodies",0,"Pourrut et al. 2009"
"772","Rift_Valley_fever_virus","Epomops_franqueti","wild","Isolation",2,"Calisher et al. 2006"
"773","Shamonda_virus","Epomops_franqueti","wild","Isolation",2,"Addy et al. 1978"
"774","Zaire_ebolavirus","Epomops_franqueti","wild","PCR",2,"Leroy et al. 2004"
"775","Rabies_virus","Eptesicus_brasiliensis","wild","Isolation",2,"Paez et al. 2003"
"776","Rabies_virus","Eptesicus_diminutus","wild","Isolation",2,"Sodre et al. 2010; Favoretto et al. 2002"
"777","Rabies_virus","Eptesicus_furinalis","wild","Isolation",2,"Kobayashi et al. 2005"
"778","Eastern_equine_encephalitis_virus","Eptesicus_fuscus","wild","Antibodies",0,"Main 1979"
"779","Rabies_virus","Eptesicus_fuscus","wild","PCR",2,"Blanton et al. 2008"
"780","Rio_Bravo_virus","Eptesicus_fuscus","wild","Isolation",2,"Calisher et al.  2006"
"781","St._Louis_encephalitis_virus","Eptesicus_fuscus","wild","Antibodies",0,"Herbold et al. 1983"
"782","West_Nile_virus","Eptesicus_fuscus","wild","Antibodies",0,"Davis et al. 2005"
"783","European_bat_lyssavirus_1","Eptesicus_serotinus","wild","Isolation",2,"Calisher et al. 2006"
"784","Hantaan_virus","Eptesicus_serotinus","wild","Isolation",2,"Calisher et al. 2006"
"785","Issyk-Kul_virus","Eptesicus_serotinus","wild","Isolation",2,"Calisher et al. 2006; Lvov et al. 1973"
"786","African_horse_sickness_virus","Equus_asinus","domestic","Antibodies",0,"Baba et al. 1993"
"787","Borna_disease_virus","Equus_asinus","domestic","PCR",2,"Zhang et al. 2014"
"788","Bovine_papillomavirus_1","Equus_asinus","domestic","PCR",2,"Nasir et al. 2007"
"789","Equid_herpesvirus_7","Equus_asinus","domestic","isolation",2,"Bell et al. 2008"
"790","Equid_herpesvirus_8","Equus_asinus","domestic","isolation",2,"Browning et al. 1988"
"791","Equine_arteritis_virus","Equus_asinus","domestic","PCR",2,"Stadejek et al. 2006"
"792","Equine_encephalosis_virus","Equus_asinus","domestic","Antibodies",0,"Lord et al. 2002"
"793","Human_picobirnavirus","Equus_asinus","captive","PAGE",0,"Masachessi et al. 2007"
"794","Rabies_virus","Equus_asinus","domestic","Direct Fluorescent Antibody Testing",0,"Jungeblut et al. 1943"
"795","Thogoto_virus","Equus_asinus","domestic","Antibodies",0,"Jones et al. 1987"
"796","Venezuelan_equine_encephalitis_virus","Equus_asinus","domestic","Isolation",2,"Hearn et al. 1960"
"797","Vesicular_exanthema_of_swine_virus","Equus_asinus","domestic","Antibodies",0,"Smith et al. 1978"
"798","Vesicular_stomatitis_Indiana_virus","Equus_asinus","domestic","Antibodies",0,"Fletcher et al. 1985"
"799","Wesselsbron_virus","Equus_asinus","domestic","Antibodies",0,"Baba et al. 1994"
"800","African_horse_sickness_virus","Equus_caballus","domestic","Antibodies",0,"Baba et al. 1993"
"801","Akabane_virus","Equus_caballus","domestic","Antibodies",0,"Davies et al. 1985"
"802","Anopheles_A_virus","Equus_caballus","domestic","Isolation",2,NA
"803","Aura_virus","Equus_caballus","domestic","Hemagglutination inhibition assay; Neutralization test",0,"Sabattini et al. 1965"
"804","Barmah_Forest_virus","Equus_caballus","domestic","Antibodies",0,"Kay et al. 2007"
"805","Borna_disease_virus","Equus_caballus","domestic","PCR",2,"Dauphin et al. 2001"
"806","Bovine_papillomavirus_1","Equus_caballus","domestic","PCR",2,"Nasir et al. 2007"
"807","Bunyamwera_virus","Equus_caballus","domestic","Isolation",2,"Calisher et al. 1986"
"808","Cabassou_virus","Equus_caballus","domestic","Isolation",2,"Digoutte et al. 1976"
"809","California_encephalitis_virus","Equus_caballus","domestic","Isolation",2,"Mahy 2009"
"810","Colorado_tick_fever_virus","Equus_caballus","domestic","Antibodies",0,"Emmons 1994"
"811","Corriparta_virus","Equus_caballus","domestic","Antibodies",0,"Doherty et al. 1970"
"812","Eastern_equine_encephalitis_virus","Equus_caballus","domestic","Isolation",2,"Chenier et al. 2010"
"813","Encephalomyocarditis_virus","Equus_caballus","domestic","Isolation",2,"Tesh & Wallace 1978"
"814","Equid_herpesvirus_1","Equus_caballus","domestic","Antibodies",0,"Martinov et al. 2000"
"815","Equid_herpesvirus_2","Equus_caballus","domestic","Antibodies",0,"Vengust et al. 2008"
"816","Equid_herpesvirus_3","Equus_caballus","domestic","PCR",2,"Barrandeguy et al. 2010"
"817","Equid_herpesvirus_4","Equus_caballus","domestic","PCR",2,"Gilkerson et al. 1994"
"818","Equid_herpesvirus_5","Equus_caballus","domestic","PCR",2,"Fortier et al. 2009"
"819","Equid_herpesvirus_9","Equus_caballus","domestic","Isolation",2,"Borchers et al. 2005"
"820","Equine_adenovirus_A","Equus_caballus","domestic","Antibodies",0,"Giles et al. 2010"
"821","Equine_adenovirus_B","Equus_caballus","domestic","Antibodies",0,"Giles et al. 2010"
"822","Equine_arteritis_virus","Equus_caballus","domestic","PCR",2,"Pronost et al. 2010"
"823","Equine_encephalosis_virus","Equus_caballus","domestic","Antibodies",0,"Paweska et al. 2004"
"824","Equine_foamy_virus","Equus_caballus","domestic","Isolation",2,"Tobaly-Tapiero et al. 2000"
"825","Equine_infectious_anemia_virus","Equus_caballus","domestic","PCR",2,"Cappelli et al. 2011"
"826","Equine_papillomavirus_1","Equus_caballus","domestic","Isolation",2,"Hamada et al. 1990"
"827","Equine_rhinitis_A_virus","Equus_caballus","domestic","Isolation",2,"Plummer 1962"
"828","Equine_rhinitis_B_virus","Equus_caballus","captive","Isolation",2,"Dynon et al. 2007"
"829","Equine_torovirus","Equus_caballus","domestic","Isolation",2,"Mahy 2009"
"830","Gan_Gan_virus","Equus_caballus","domestic","Antibodies",0,"Vale et al. 1991"
"831","Getah_virus","Equus_caballus","domestic","Isolation",2,"Attoui et al. 2007"
"832","Hendra_virus","Equus_caballus","domestic","Isolation",2,"Tulsiani et al. 2011"
"833","Highlands_J_virus","Equus_caballus","domestic","Antibodies",0,"Attoui et al. 2007"
"834","Human_picobirnavirus","Equus_caballus","domestic","PCR",2,"Ganesh et al. 2011"
"835","Ilheus_virus","Equus_caballus","domestic","PRNT",1,"Pauvolid-Correa et al. 2014"
"836","Kairi_virus","Equus_caballus","domestic","Isolation",2,"Calisher et al. 1988"
"837","Kokobera_virus","Equus_caballus","domestic","Antibodies",0,"Prow et al. 2013"
"838","Main_Drain_virus","Equus_caballus","domestic","Isolation",2,"Emmons et al. 1983"
"839","Middelburg_virus","Equus_caballus","domestic","PCR",2,"Attoui et al. 2007"
"840","Murray_Valley_encephalitis_virus","Equus_caballus","domestic","Antibodies",0,"Prow et al. 2013"
"841","Peruvian_horse_sickness_virus","Equus_caballus","domestic","Isolation",2,"Attoui et al. 2009"
"842","Rabies_virus","Equus_caballus","domestic","Direct Fluorescent Antibody Testing",0,"Kipar et al. 2010"
"843","Salem_virus","Equus_caballus","domestic","Isolation",2,"Renshaw et al. 2000"
"844","Semliki_Forest_virus","Equus_caballus","domestic","Antibodies",0,"Krauss 2003"
"845","Sepik_virus","Equus_caballus","domestic","Antibodies",0,"Olson et al. 1983"
"846","Shuni_virus","Equus_caballus","domestic","Isolation",2,"van Eeden et al. 2012"
"847","St._Louis_encephalitis_virus","Equus_caballus","domestic","Antibodies",0,"Monath et al. 1985"
"848","Suid_herpesvirus_1","Equus_caballus","domestic","Cell culture, PCR",2,"Kimman et al. 1991"
"849","Trubanaman_virus","Equus_caballus","domestic","Antibodies",0,"Johansen et al. 2005"
"850","Turlock_virus","Equus_caballus","domestic","Antibodies",0,"Sabattini et al. 1965"
"851","Una_virus","Equus_caballus","domestic","Antibodies",0,"Diaz et al. 2003"
"852","Vaccinia_virus","Equus_caballus","domestic","VNT",1,"Peres et al. 2013"
"853","Venezuelan_equine_encephalitis_virus","Equus_caballus","domestic","PCR",2,"Navarro et al. 2005"
"854","Vesicular_stomatitis_Alagoas_virus","Equus_caballus","domestic","Isolation",2,"Federer et al. 1967; Andrade et al. 1980"
"855","Vesicular_stomatitis_Indiana_virus","Equus_caballus","domestic","Antibodies",0,"Fletcher et al. 1985"
"856","Wesselsbron_virus","Equus_caballus","domestic","Antibodies",0,"Baba et al. 1994"
"857","West_Nile_virus","Equus_caballus","domestic","PCR",2,"Ibarra-Juarez et al. 2012"
"858","Western_equine_encephalitis_virus","Equus_caballus","domestic","Antibodies",0,"Calisher et al. 1983"
"859","Equid_herpesvirus_9","Equus_hemionus","wild","Isolation",2,"Kasem et al. 2008"
"860","African_horse_sickness_virus","Equus_burchellii","wild","Antibodies",0,"Maclachlan and Guthrie 2010"
"861","Akabane_virus","Equus_burchellii","wild","Antibodies",0,"Davies et al. 1985"
"862","Crimean-Congo_hemorrhagic_fever_virus","Equus_burchellii","wild","Antibodies",0,"Shepherd et al. 1987"
"863","Equid_herpesvirus_4","Equus_burchellii","wild","Antibodies",0,"Borchers and Frolich 1997"
"864","Equid_herpesvirus_9","Equus_burchellii","wild","Antibodies",0,"Borchers et al. 2005"
"865","Equine_arteritis_virus","Equus_burchellii","wild","Antibodies",0,"Borchers et al. 2005"
"866","Equine_encephalosis_virus","Equus_burchellii","wild","Antibodies",0,"Barnard et al. 1993"
"867","Colorado_tick_fever_virus","Erethizon_dorsatum","wild","Isolation",2,"McLean et al. 1993"
"868","Rabies_virus","Erethizon_dorsatum","wild","Antibodies",0,"Childs et al. 1997"
"869","Foot-and-mouth_disease_virus","Erinaceus_europaeus","wild","Isolation",2,"McLauchlan et al. 1948"
"870","Cercopithecine_herpesvirus_9","Erythrocebus_patas","captive","Isolation",2,"McCarthy et al. 1968"
"871","Chikungunya_virus","Erythrocebus_patas","wild","Isolation",2,"Diallo et al. 1999"
"872","Dugbe_virus","Erythrocebus_patas","wild","Isolation",2,"Butenko 1996"
"873","Simian_hemorrhagic_fever_virus","Erythrocebus_patas","captive","Isolation",2,"Gravell et al. 1986"
"874","Yaba_monkey_tumor_virus","Erythrocebus_patas","wild","Antibodies",0,"Downie 1974"
"875","Yellow_fever_virus","Erythrocebus_patas","wild","Isolation",2,"Deubel et al. 1985"
"876","Vesicular_exanthema_of_swine_virus","Eschrichtius_robustus","wild","Antibodies",0,"Smith et al. 1978"
"877","Rabies_virus","Euderma_maculatum","wild","Isolation",2,"Nadin-Davis et al. 2001"
"878","Akabane_virus","Eudorcas_thomsonii","wild","Antibodies",0,"Davies et al. 1985"
"879","Bluetongue_virus","Eudorcas_thomsonii","wild","Antibodies",0,"Anderson et al. 1998"
"880","Equid_herpesvirus_1","Eudorcas_thomsonii","captive","PCR",2,"Wohlsein et al. 2011"
"881","Equid_herpesvirus_9","Eudorcas_thomsonii","wild","Isolation",2,"Fukushi et al. 1997"
"882","Foot-and-mouth_disease_virus","Eudorcas_thomsonii","wild","Antibodies",0,"Anderson 1981 in Weaver and Karesh 2013"
"883","Peste-des-petits-ruminants_virus","Eudorcas_thomsonii","wild","Isolation",2,"Abu Elzein et al. 2004"
"884","Encephalomyocarditis_virus","Eulemur_albifrons","wild","Antibodies",0,"Canelli et al. 2010"
"885","Encephalomyocarditis_virus","Eulemur_macaco","wild","Antibodies",0,"Canelli et al. 2010"
"886","Great_Island_virus","Eumetopias_jubatus","wild","Antibodies",0,"Barlough et al. 1998"
"887","Vesicular_exanthema_of_swine_virus","Eumetopias_jubatus","wild","Isolation",2,"Barlough et al. 1998"
"888","Rabies_virus","Eumops_auripendulus","wild","Isolation",2,"Kobayashi et al. 2005"
"889","Rabies_virus","Eumops_glaucinus","wild","Isolation",2,"Cunha et al. 2006"
"890","Rabies_virus","Eumops_patagonicus","wild","Isolation",2,"Cisterna et al. 2005"
"891","Rabies_virus","Eumops_perotis","wild","PCR",2,"Castilho et al. 2008"
"892","Barmah_Forest_virus","Felis_catus","domestic","Antibodies",0,"Kay et al. 2007"
"893","Borna_disease_virus","Felis_catus","domestic","Antibodies",0,"Kamnieh et al. 2008"
"894","Encephalomyocarditis_virus","Felis_catus","domestic","Antibodies",0,"Smith et al. 1992"
"895","Feline_astrovirus","Felis_catus","domestic","PCR",2,"Atkins at al. 2009"
"896","Feline_calicivirus","Felis_catus","domestic","Isolation",2,"Ohe et al. 2006"
"897","Feline_coronavirus","Felis_catus","domestic","PCR",2,"Kipar et al. 2010"
"898","Feline_foamy_virus","Felis_catus","domestic","Isolation",2,"Winkler et al. 1999"
"899","Feline_immunodeficiency_virus","Felis_catus","domestic","PCR",2,"Fujimo et al. 2008"
"900","Feline_leukemia_virus","Felis_catus","domestic","PCR",2,"Englert et al. 2012"
"901","Feline_papillomavirus","Felis_catus","domestic","PCR",2,"Terai & Burk 2002"
"902","Human_herpesvirus_4","Felis_catus","domestic","Antibodies",0,"Milman et al. 2010"
"903","Human_norovirus-Alphatron","Felis_catus","domestic","Antibodies",0,"Di Martino et al. 2010"
"904","Mokola_virus","Felis_catus","domestic","Isolation",2,"Meredith et al. 1996"
"905","Rabies_virus","Felis_catus","domestic","PCR",2,"Diaz et al. 1994"
"906","Racoonpox_virus","Felis_catus","domestic","PCR",2,"Yager et al. 2006"
"907","Suid_herpesvirus_1","Felis_catus","domestic","Cell culture, PCR",2,"Salwa 2004"
"908","Vaccinia_virus","Felis_catus","domestic","VNT",1,"Peres et al. 2013"
"909","Suid_herpesvirus_1","Puma_concolor","wild","Isolation",2,"Glass et al. 1994"
"910","Rabies_virus","Felis_nigripes","wild","PCR",2,"van Zyl et al. 2010"
"911","Felid_herpesvirus_1","Felis_silvestris","wild","Antibodies",0,"Leutenegger et al. 1999"
"912","Feline_calicivirus","Felis_silvestris","wild","PCR",2,"Daniels et al. 1999"
"913","Feline_coronavirus","Felis_silvestris","wild","Antibodies",0,"Daniels et al. 1999"
"914","Feline_foamy_virus","Felis_silvestris","wild","Isolation",2,"Daniels et al. 1999"
"915","Feline_leukemia_virus","Felis_silvestris","wild","PCR",2,"Willi et al. 2009"
"916","Feline_panleukopenia_virus","Felis_silvestris","wild","Isolation",2,"Daniels et al. 1999"
"917","Rabies_virus","Felis_silvestris","wild","PCR",2,"Lembo et al. 2008"
"918","Kyasanur_Forest_disease_virus","Funambulus_tristriatus","wild","Antibodies",0,"Webb et al. 1965"
"919","Monkeypox_virus","Funisciurus_anerythrus","wild","Isolation",2,"Hutson et al.2007"
"920","Monkeypox_virus","Funisciurus_congicus","wild","Isolation",2,"Khodakevich et al. 1986"
"921","Chikungunya_virus","Galago_senegalensis","wild","Antibodies",0,"Brack 1987"
"922","Junin_virus","Galictis_cuja","wild","Antibodies",0,"Mills et al. 1994"
"923","Peste-des-petits-ruminants_virus","Gazella_dorcas","wild","Isolation",2,"Abu Elzein et al. 2004"
"924","Bluetongue_virus","Gazella_gazella","wild","Isolation",2,"Barzilai et al. 1971"
"925","Bovine_ephemeral_fever_virus","Gazella_gazella","wild","SNT",1,"Aziz-Boaron et al. 2013"
"926","Foot-and-mouth_disease_virus","Gazella_gazella","wild","Isolation",2,"Shimsony 1986"
"927","Bluetongue_virus","Gazella_subgutturosa","wild","ELISA",0,"Gur 2008"
"928","Epizootic_hemorrhagic_disease_virus","Gazella_subgutturosa","wild","Antibodies",0,"Albayrak et al. 2010"
"929","Rabies_virus","Genetta_genetta","wild","PCR",2,"Lembo et al. 2008"
"930","African_horse_sickness_virus","Genetta_maculata","wild","bcELISA",0,"Alexander et al. 1995"
"931","Bluetongue_virus","Genetta_maculata","wild","Antibodies",0,"Alexander et al. 1994"
"932","Crimean-Congo_hemorrhagic_fever_virus","Gerbilliscus_brantsii","wild","Antibodies",0,"Shepherd et al. 1987"
"933","Arumowot_virus","Gerbilliscus_kempi","wild","isolation",2,"Kemp et al. 1974"
"934","Keuraliba_virus","Gerbilliscus_kempi","wild","Isolation",2,"Kemp 1975"
"935","Koutango_virus","Gerbilliscus_kempi","wild","Isolation",2,"Butenko et al. 1986"
"936","Qalyub_virus","Gerbilliscus_kempi","wild","Isolation",2,"Saluzzo et al. 1986"
"937","Saboya_virus","Gerbilliscus_kempi","wild","Isolation",2,"Kemp 1975; Varelas-Wesley et al. 1982"
"938","Taterapox_virus","Gerbilliscus_kempi","wild","Isolation",2,"Lourie et al. 1975"
"939","Crimean-Congo_hemorrhagic_fever_virus","Gerbilliscus_leucogaster","wild","Antibodies",0,"Shepherd et al. 1987"
"940","Bunyamwera_virus","Gerbilliscus_validus","wild","Antibodies",0,"Henderson et al. 1972"
"941","Bluetongue_virus","Giraffa_camelopardalis","wild","ELISA",0,"Kimber et al. 2002"
"942","Crimean-Congo_hemorrhagic_fever_virus","Giraffa_camelopardalis","wild","Antibodies",0,"Shepherd et al. 1987"
"943","Equid_herpesvirus_9","Giraffa_camelopardalis","wild","Isolation",2,"Kasem et al. 2008"
"944","Foot-and-mouth_disease_virus","Giraffa_camelopardalis","wild","Antibodies",0,"Hamblin et al. 1990"
"945","Lumpy_skin_disease_virus","Giraffa_camelopardalis","wild","Antibodies",0,"Hedger and Hamblin 1983"
"946","Rinderpest_virus","Giraffa_camelopardalis","wild","PCR",2,"Roeder 2011"
"947","Rabies_virus","Glaucomys_volans","wild","Antibodies",0,"Childs et al. 1997"
"948","Rift_Valley_fever_virus","Glauconycteris_argentata","wild","Isolation",2,"Calisher et al. 2006"
"949","Encephalomyocarditis_virus","Glis_glis","wild","Isolation",2,"Amaddeo et al. 1995"
"950","Cetacean_morbillivirus_virus","Globicephala_melas","wild","PCR",2,"Belliere et al. 2011"
"951","Influenza_A_virus","Globicephala_melas","wild","Isolation",2,"Hinshaw et al. 1986"
"952","Venezuelan_equine_encephalitis_virus","Glossophaga_commissarisi","wild","Antibodies",0,"Seymour et al. 1978"
"953","Rabies_virus","Glossophaga_longirostris","wild","Antibodies",0,"Price & Everard 1977"
"954","Rabies_virus","Glossophaga_morenoi","wild","Antibodies",0,"Salas-Rojas et al. 2004"
"955","Eastern_equine_encephalitis_virus","Glossophaga_soricina","wild","Antibodies",0,"Ubico & McLean 1995"
"956","Ilheus_virus","Glossophaga_soricina","wild","Antibodies",0,"Price et al. 1978"
"957","Rabies_virus","Glossophaga_soricina","wild","Antibodies",0,"Sodre et al. 2007"
"958","Rio_Bravo_virus","Glossophaga_soricina","wild","Antibodies",0,"Ubico & McLean 1995"
"959","St._Louis_encephalitis_virus","Glossophaga_soricina","wild","Antibodies",0,"Ubico & McLean 1995"
