Pan,MSW05_Order,MSW05_Genus,MSW05_Species,AnnualBP,X1.1_ActivityCycle,X5.1_AdultBodyMass_g,X8.1_AdultForearmLen_mm,X13.1_AdultHeadBodyLen_mm,X2.1_AgeatEyeOpening_d,X3.1_AgeatFirstBirth_d,X18.1_BasalMetRate_mLO2hr,X5.2_BasalMetRateMass_g,X6.1_DietBreadth,X9.1_GestationLen_d,X12.1_HabitatBreadth,X14.1_InterbirthInterval_d,X15.1_LitterSize,X16.1_LittersPerYear,X17.1_MaxLongevity_m,X5.3_NeonateBodyMass_g,X13.2_NeonateHeadBodyLen_mm,X21.1_PopulationDensity_n.km2,X10.1_PopulationGrpSize,X23.1_SexualMaturityAge_d,X10.2_SocialGrpSize,X12.2_Terrestriality,X6.2_TrophicLevel,X25.1_WeaningAge_d,X5.4_WeaningBodyMass_g,X13.3_WeaningHeadBodyLen_mm,X5.5_AdultBodyMass_g_EXT,X5.6_NeonateBodyMass_g_EXT,X26.1_GR_Area_km2,X26.2_GR_MaxLat_dd,X26.3_GR_MinLat_dd,X26.4_GR_MidRangeLat_dd,X26.5_GR_MaxLong_dd,X26.6_GR_MinLong_dd,X26.7_GR_MidRangeLong_dd,X27.1_HuPopDen_Min_n.km2,X27.2_HuPopDen_Mean_n.km2,X27.3_HuPopDen_5p_n.km2,X27.4_HuPopDen_Change,X28.1_Precip_Mean_mm,X28.2_Temp_Mean_01degC,X30.1_AET_Mean_mm,X30.2_PET_Mean_mm,Log10.mass_specific_production.,Diet.Inv,Diet.Vend,Diet.Vect,Diet.Vfish,Diet.Vunk,Diet.Scav,Diet.Fruit,Diet.Nect,Diet.Seed,Diet.PlantO,ForStrat.Value,Activity.Nocturnal,Activity.Crepuscular,Activity.Diurnal,BodyMass.Value,torp,mig,IUCN
Rhinolophus_affinis,Chiroptera,Rhinolophus,affinis,1,NA,13.7,52.17,NA,NA,NA,NA,NA,1,NA,1,NA,0.99,2,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,15.5316875,33.18,-10.32,11.43,123.16,77.55,100.35,1,5.358894928,8,0.08,150.25,191.86,1133.43,1336.57,NA,100,0,0,0,0,0,0,0,0,0,A,1,0,0,13.63,NA,NA,NA
Rhinolophus_arcuatus,Chiroptera,Rhinolophus,arcuatus,NA,NA,8.98,45.74,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,12.69552237,18.65,-7.97,5.34,145.32,100.18,122.75,1,5.160261468,5,0.11,247.96,226.12,1556.3,1713.29,NA,100,0,0,0,0,0,0,0,0,0,A,1,0,0,8.75,NA,NA,NA
Rhinolophus_ferrumequinum,Chiroptera,Rhinolophus,ferrumequinum,NA,NA,22.59,63.68,NA,NA,1277.5,NA,NA,1,91.24,1,NA,0.98,1,360,1.729884066,NA,NA,NA,827.69,NA,2,3,45.87,NA,NA,NA,NA,15.7321014,53.47,23.49,38.48,142.07,-9.49,66.28,0,5.089877682,6,0.07,59.9,108.69,510.66,954.79,NA,100,0,0,0,0,0,0,0,0,0,A,1,0,0,21.06,3,1,LC
Rhinolophus_pearsonii,Chiroptera,Rhinolophus,pearsonii,NA,NA,11.55,52,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,15.04741559,34.04,12.12,23.08,120.39,77.69,99.04,1,5.369521126,5,0.07,132.63,162.99,1013.68,1220.18,NA,100,0,0,0,0,0,0,0,0,0,A,1,0,0,11.55,NA,NA,NA
Rhinolophus_pusillus,Chiroptera,Rhinolophus,pusillus,NA,NA,5.15,37.59,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,13.03811235,30.75,9.95,20.35,119.25,76.23,97.74,1,5.655921878,11,0.08,101.35,198.87,924.58,1349.44,NA,100,0,0,0,0,0,0,0,0,0,A,1,0,0,5.15,NA,NA,NA
Rhinolophus_rufus,Chiroptera,Rhinolophus,rufus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.32056565,18.65,5.55,12.1,126.6,119.74,123.17,19,5.436077306,32,0.1,204.58,240.16,1470.06,1728,NA,100,0,0,0,0,0,0,0,0,0,A,1,0,0,30,NA,NA,NA
Rhinolophus_sinicus,Chiroptera,Rhinolophus,sinicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.6768293,33.93,18.94,26.44,120.49,76.92,98.7,1,5.616625633,9,0.07,127.05,150.11,990.55,1121.64,NA,80,0,0,0,0,0,0,0,10,10,A,1,0,0,10.62,NA,NA,NA
Rousettus_leschenaultii,Chiroptera,Rousettus,leschenaultii,2,NA,84.88,82.25,NA,NA,278.81,NA,NA,3,121.66,1,NA,1.01,2,NA,2.48490665,NA,NA,6.624065228,322.24,NA,2,2,52.34,3.610917913,NA,NA,NA,15.45507589,35.35,-8.96,13.19,117.84,67.64,92.74,1,5.663481178,10,0.09,127.94,230.14,946.42,1436.72,-0.055252277,0,0,0,0,0,0,60,40,0,0,Ar,1,0,0,84.88,1,2,LC
Scotophilus_kuhlii,Chiroptera,Scotophilus,kuhlii,1,NA,20.31,51.4,NA,NA,365,NA,NA,1,110,1,NA,1.5,1,NA,1.871802177,NA,NA,4.744932128,242.64,NA,2,3,38.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,0,0,0,0,0,0,0,0,A,1,0,0,20.73,NA,NA,NA
Myotis_ricketti,Chiroptera,Myotis,ricketti,NA,NA,NA,56.49,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,26.19,NA,13.5876492,37.81,21.66,29.74,121.66,98.79,110.23,45,5.929163521,100.5,0.06,106.94,150.94,1000.2,1099.26,NA,100,0,0,0,0,0,0,0,0,0,A,1,0,0,7.74,NA,NA,NA
Acerodon_celebensis,Chiroptera,Acerodon,celebensis,NA,NA,384.84,133.5,201.25,NA,NA,NA,NA,NA,NA,1,NA,0.98,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,12.06459145,3.74,-6.49,-1.37,126.34,118.75,122.55,5,4.539884719,17,0.07,229.41,215.47,1812.6,1909.15,NA,0,0,0,0,0,0,100,0,0,0,Ar,1,0,0,390,NA,NA,NA
Acerodon_humilis,Chiroptera,Acerodon,humilis,NA,NA,NA,140,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,352.43,NA,4.482437421,4.04,3.81,3.93,126.73,126.6,126.67,109,4.700480366,109,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,100,0,0,0,Ar,1,0,0,462.47,NA,NA,NA
Acerodon_jubatus,Chiroptera,Acerodon,jubatus,NA,NA,1087.04,188.04,NA,NA,NA,NA,NA,2,NA,1,NA,1,1,NA,NA,NA,NA,6.907755279,NA,NA,2,1,NA,NA,NA,NA,NA,12.47480784,18.65,5.55,12.1,126.6,119.74,123.17,19,5.477049154,34,0.1,202.52,242.33,1471.66,1734.15,NA,0,0,0,0,0,0,100,0,0,0,Ar,1,0,0,1075,NA,NA,NA
Acerodon_leucotis,Chiroptera,Acerodon,leucotis,NA,NA,NA,139.95,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,352.07,NA,9.459764348,12.33,7.8,10.06,120.34,116.93,118.63,22,3.791661649,25,0.21,224,249.78,NA,NA,NA,0,0,0,0,0,0,100,0,0,0,Ar,1,0,0,462.47,NA,NA,NA
